phoneme,prev_lexeme,lexeme,freq_unweighted,prob_unweighted,freq_weighted,prob_weighted
oh,χ,ο,1879,0.5792231812577066,150815,0.3860468688006348
oh,χ,ω,1365,0.42077681874229345,239850,0.6139531311993652
oh,ι,ο,4926,0.6213420787083754,608921,0.6998263423985436
oh,ι,ω,3002,0.3786579212916246,261182,0.30017365760145637
oh,ο,ο,327,0.6728395061728395,34975,0.5853066688980002
oh,ο,ω,159,0.3271604938271605,24780,0.41469333110199985
oh,λ,ο,7041,0.753048128342246,669490,0.7289814469000676
oh,λ,ω,2309,0.246951871657754,248901,0.2710185530999324
oh,φ,ο,2791,0.6739917894228448,392485,0.7215049790341942
oh,φ,ω,1350,0.3260082105771553,151496,0.2784950209658058
oh,θ,ο,1221,0.5729704364148287,62545,0.4236834618146347
oh,θ,ω,910,0.4270295635851713,85077,0.5763165381853653
oh,ε,ο,1048,0.31414868105515587,68792,0.1913770176209738
oh,ε,ω,2288,0.6858513189448441,290666,0.8086229823790262
oh,ξ,ο,722,0.6557674841053588,17810,0.39414863010667023
oh,ξ,ω,379,0.3442325158946412,27376,0.6058513698933298
oh,οι,ο,284,0.48299319727891155,115745,0.868076649041887
oh,οι,ω,304,0.5170068027210885,17590,0.13192335095811303
oh,υ,ο,377,0.766260162601626,53975,0.9278199883109293
oh,υ,ω,115,0.23373983739837398,4199,0.07218001168907072
oh,ζ,ο,2559,0.7837672281776417,101760,0.521169969219423
oh,ζ,ω,706,0.21623277182235834,93493,0.478830030780577
oh,ευ,ο,733,0.8917274939172749,12255,0.23865628042843232
oh,ευ,ω,89,0.10827250608272507,39095,0.7613437195715677
oh,αι,ο,766,0.5319444444444444,74287,0.3982533827975897
oh,αι,ω,674,0.46805555555555556,112245,0.6017466172024103
oh,ψ,ο,79,0.3134920634920635,1893,0.41089646190579554
oh,ψ,ω,173,0.6865079365079365,2714,0.5891035380942045
oh,ει,ο,781,0.5515536723163842,74639,0.48526438291149526
oh,ει,ω,635,0.4484463276836158,79172,0.5147356170885047
oh,β,ο,1518,0.8664383561643836,104590,0.8192021805706766
oh,β,ω,234,0.13356164383561644,23083,0.18079781942932335
oh,ϊ,ο,27,0.8181818181818182,20917,0.9987108479755539
oh,ϊ,ω,6,0.18181818181818182,27,0.0012891520244461422
oh,ω,ο,143,0.7900552486187845,4178,0.46697216944227116
oh,ω,ω,38,0.20994475138121546,4769,0.5330278305577288
oh,α,ο,250,0.7062146892655368,8169,0.7044063119772355
oh,α,ω,104,0.2937853107344633,3428,0.29559368802276453
oh,ου,ο,69,0.7931034482758621,606,0.45089285714285715
oh,ου,ω,18,0.20689655172413793,738,0.5491071428571429
oh,η,ο,48,0.9411764705882353,304,0.990228013029316
oh,η,ω,3,0.058823529411764705,3,0.009771986970684038
oh,υι,ο,70,0.958904109589041,11223,0.9996437160416852
oh,υι,ω,3,0.0410958904109589,4,0.00035628395831477686
oh,αυ,ο,12,0.9230769230769231,63,0.7875
oh,αυ,ω,1,0.07692307692307693,17,0.2125
oh,µ,ο,6,0.75,6,0.6666666666666666
oh,µ,ω,2,0.25,3,0.3333333333333333
oh,ς,ο,9,0.75,11,0.7857142857142857
oh,ς,ω,3,0.25,3,0.21428571428571427
oh,ϋ,ο,9,0.8181818181818182,10,0.8333333333333334
oh,ϋ,ω,2,0.18181818181818182,2,0.16666666666666666
